"id"	"type_id"	"mat_id"	"name"	"group_id"	"radius"	"shag"	"gabarit"	"width"	"diam"	"kolvo_sklad"	"norma"	"zakaz"	"geometry"	"id_parent"	"property"
"217"	"51"	"30"	""	"71"			"стандартный"		"1.2"					"1"	"{""5"": ""стандартный"", ""11"": ""1.2"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"218"	"51"	"30"	""	"71"			"стандартный"		"1,3"					"1"	"{""5"": ""стандартный"", ""11"": ""1,3"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"219"	"51"	"30"	""	"71"			"стандартный"		"1,4"					"1"	"{""5"": ""стандартный"", ""11"": ""1,4"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"220"	"51"	"30"	""	"71"			"стандартный"		"1,5"					"1"	"{""5"": ""стандартный"", ""11"": ""1,5"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"221"	"51"	"30"	""	"71"			"стандартный"		"1,6"					"2"	"{""5"": ""стандартный"", ""11"": ""1,6"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"222"	"51"	"30"	""	"71"			"стандартный"		"1,7"					"2"	"{""5"": ""стандартный"", ""11"": ""1,7"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"223"	"51"	"30"	""	"71"			"стандартный"		"1,8"					"2"	"{""5"": ""стандартный"", ""11"": ""1,8"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"224"	"51"	"30"	""	"71"			"стандартный"		"1,9"					"2"	"{""5"": ""стандартный"", ""11"": ""1,9"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"225"	"51"	"30"	""	"71"			"стандартный"		"2"					"2"	"{""5"": ""стандартный"", ""11"": ""2"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"226"	"51"	"30"	""	"71"			"стандартный"		"2,1"					"2"	"{""5"": ""стандартный"", ""11"": ""2,1"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"205"	"52"	"30"	"YX M2*0,4 T2809"	"72"	"0"	"0.4"		"Стандартный"	"М2"					"3"	"{""4"": ""Стандартный"", ""6"": ""0.4"", ""11"": ""М2"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"228"	"51"	"30"	""	"71"			"стандартный"		"2,3"					"3"	"{""5"": ""стандартный"", ""11"": ""2,3"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"206"	"52"	"30"	"YX M2,5*0,45 T2809"	"72"	"0"	"0.45"		"Стандартный"	"М2.5"					"3"	"{""4"": ""Стандартный"", ""6"": ""0.45"", ""11"": ""М2.5"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"207"	"52"	"30"	"YX M3*0,5 T2809"	"72"	"0"	"0.5"		"Стандартный"	"М3"					"3"	"{""4"": ""Стандартный"", ""6"": ""0.5"", ""11"": ""М3"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"248"	"51"	"30"	""	"71"			" стандартный"		"4.3"					"3"	"{""5"": "" стандартный"", ""11"": ""4.3"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"212"	"52"	"30"	"YX M10*1,5 T2809"	"72"	"0"	"1.5"		"Стандартный"	"М10"					"4"	"{""4"": ""Стандартный"", ""6"": ""1.5"", ""11"": ""М10"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"227"	"51"	"30"	""	"71"			"стандартный"		"2,2"					"3"	"{""5"": ""стандартный"", ""11"": ""2,2"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"211"	"52"	"30"	"YX M8*1,25 T2809"	"72"	"0"	"1.25"		"Стандартный"	"М8"					"4"	"{""4"": ""Стандартный"", ""6"": ""1.25"", ""11"": ""М8"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"210"	"52"	"30"	"YX M6*1 T2809"	"72"	"0"	"1"		"Стандартный"	"М6"					"4"	"{""4"": ""Стандартный"", ""6"": ""1"", ""11"": ""М6"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"209"	"52"	"30"	"YX M5*0,8 T2809"	"72"	"0"	"0.8"		"Стандартный"	"М5"					"4"	"{""4"": ""Стандартный"", ""6"": ""0.8"", ""11"": ""М5"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"208"	"52"	"30"	"YX M4*0,7 T2809"	"72"	"0"	"0.7"		"Стандартный"	"М4"					"4"	"{""4"": ""Стандартный"", ""6"": ""0.7"", ""11"": ""М4"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""72""}"
"203"	"52"	"30"	"YX M10*1,5 T2829"	"73"	"0"	"1.5"		"Стандартный"	"М10"					"4"	"{""4"": ""Стандартный"", ""6"": ""1.5"", ""11"": ""М10"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""73""}"
"229"	"51"	"30"	""	"71"			"стандартный"		"2,4"					"4"	"{""5"": ""стандартный"", ""11"": ""2,4"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"202"	"52"	"30"	"YX M8*1,25 T2829"	"73"	"0"	"1.25"		"Стандартный"	"М8"					"4"	"{""4"": ""Стандартный"", ""6"": ""1.25"", ""11"": ""М8"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""73""}"
"201"	"52"	"30"	"YX M6*1 T2829"	"73"	"0"	"1"		"Стандартный"	"М6"					"4"	"{""4"": ""Стандартный"", ""6"": ""1"", ""11"": ""М6"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""73""}"
"149"	"55"	"33"	"VBGT160402-AK WSK10 HARDSTONE"	"81"	"0.2"		"большая"							"4"	"{""5"": ""большая"", ""12"": ""0.2"", ""mat_id"": ""33"", ""type_id"": ""55"", ""group_id"": ""81""}"
"199"	"52"	"30"	"YX M4*0,7 T2829 "	"73"	"0"	"0,7"		"Стандартный"	"М4"					"5"	"{""4"": ""Стандартный"", ""6"": ""0,7"", ""11"": ""М4"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""73""}"
"198"	"52"	"30"	"YX M3*0,5 T2829"	"73"	"0"	"0,5"		"Стандартный"	"М3"					"5"	"{""4"": ""Стандартный"", ""6"": ""0,5"", ""11"": ""М3"", ""mat_id"": ""30"", ""type_id"": ""52"", ""group_id"": ""73""}"
"189"	"55"	"30"	"16IR19W HS5125 HADSTO  (WS5225 HARDSTONE)"	"76"	"0"	"19 ниток на дюйм"	"Средняя"							"5"	"{""5"": ""Средняя"", ""6"": ""19 ниток на дюйм"", ""mat_id"": ""30"", ""type_id"": ""55"", ""group_id"": ""76""}"
"233"	"51"	"30"	""	"71"			"стандартный"		"2,8"					"5"	"{""5"": ""стандартный"", ""11"": ""2,8"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"234"	"51"	"30"	""	"71"			"стандартный"		"2,9"					"5"	"{""5"": ""стандартный"", ""11"": ""2,9"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"235"	"51"	"30"	""	"71"			"стандартный"		"3"					"5"	"{""5"": ""стандартный"", ""11"": ""3"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"236"	"51"	"30"	""	"71"			"стандартный"		"3,1"					"5"	"{""5"": ""стандартный"", ""11"": ""3,1"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
"237"	"51"	"30"	""	"71"			"стандартный"		"3,2"					"5"	"{""5"": ""стандартный"", ""11"": ""3,2"", ""mat_id"": ""30"", ""type_id"": ""51"", ""group_id"": ""71""}"
