"id"	"type_id"	"mat_id"	"radius"	"name"	"kolvo_sklad"	"norma"	"zakaz"	"group_id"	"shag"	"gabarit"	"width"	"diam"	"geometry"
"108"	"55"	"27"	"0.8"	"VBMT160408-OTM OC2125 OKE"				"81"		"большая"			
"106"	"55"	"27"	"0.8"	"VBMT160408-TM WS8125 HARDSTONE"				"81"		"большая"			
"104"	"55"	"27"	"0.8"	"VBMT160408-HR YBC252"				"81"		"большая"			
"107"	"55"	"27"	"0.8"	"VBMT160408-TM HS8125 HADSTO"				"81"		"большая"			
"103"	"55"	"27"	"0.4"	"VBMT160404-TM HS8125 HADSTO"				"94"		"большая"			
"102"	"55"	"27"	"0.4"	"VBMT160404-TM WS8125 HARDSTONE"				"81"		"большая"			
"101"	"55"	"27"	"0.4"	"VBMT160404-HМ YBC252"				"81"		"большая"			
"100"	"55"	"27"	"0.4"	"VBMT160404-HR YBC252"				"81"		"большая"			
"99"	"55"	"27"	"0.4"	"VBMT160404-OTM OC2125 OKE"				"81"		"большая"			
"98"	"55"	"24"	"0.8"	""				"95"		"большая"			
"97"	"55"	"24"	"0.4"	""				"95"		"большая"			
"96"	"55"	"27"	"0.8"	""				"95"		"большая"			
"95"	"55"	"27"	"0.4"	""				"95"		"большая"			
"94"	"55"	"24"	"0.4"	"DCMT11T304-AHF YB9320"				"96"		"средняя"			
"93"	"55"	"24"	"0.4"	"DCMT11T304-EM YBG205 "				"96"		"средняя"			
"91"	"55"	"27"	"0.8"	"DCMT11T308-OTM OC2125 OKE"				"96"		"средняя"			
"90"	"55"	"27"	"0.8"	"DCMT11T308-HM YBC252 "				"96"		"средняя"			
"89"	"55"	"27"	"0.4"	"DCMT11T304-OTM OC2125 OKE"				"96"		"средняя"			
"88"	"55"	"27"	"0.4"	"DCMT11T304-HM YBC252 "				"96"		"средняя"			
"87"	"55"	"27"	"0.4"	"DCMT11T304-AHF YB6315"				"96"		"средняя"			
"85"	"55"	"27"	"0.2"	"DCMT11T302-AHF YB6315"				"96"		"средняя"			
"86"	"55"	"24"	"0.2"	"DCMT11T302-MP HS7125 HADSTO"				"96"		"средняя"			
"84"	"55"	"24"	"0.2"	"DCMT11T302-EF YBG205"				"96"		"средняя"			
