"name"	"id"
"Треугольная"	"29"
"Двухгранная большая"	"30"
"Двухгранная средняя"	"31"
"55 градусов двухгранная средняя"	"32"
"55 градусов 4хгранная большая"	"33"
"35 градусов двухгранная большая ""рыбка""."	"34"
"35 градусов четырехгранная большая ""рыбка""."	"35"
"Проходная резьбовая"	"36"
"канавочная "	"37"
"канавочная ширина 1.5"	"38"
"канавочная ширина 2"	"39"
"канавочная ширина 3"	"40"
"канавочная ширина 4мм"	"41"
"канавочная ширина 3мм"	"42"
"канавочная ширина 2мм"	"43"
"канавочная ширина 1.5мм"	"44"
"канавочная ширина 5мм"	"45"
"Двухгранная маленькая"	"46"
"для корпусных сверел"	"47"
"Сверло "	"51"
"Метчик "	"52"
"Расточная "	"54"
"Пластина"	"55"
